# 한국에너지공단 시·도별 신·재생에너지 발전설비 보급용량 (기준연도 2024, 단위 kW)
#
# 출처   : 공공데이터포털 "한국에너지공단_기초지자체별 신재생에너지 보급 현황"
#          https://www.data.go.kr/data/15086292/fileData.do
#          원본 파일명: "2024년 기초지자체별 신재생에너지 보급현황.csv" (CP949)
# 취득일 : 2026-08-21
# 기준연도: 2024 (연 1회 갱신. 다음 등록 예정 2027-04-07)
#
# ── 원본에서 이 파일로 옮길 때 한 일 ──
#
# 1) CP949 → UTF-8 로 디코딩. 원본을 UTF-8 로 읽으면 한글이 전부 깨진다.
#
# 2) 합계 행만 남기고 기초지자체 행을 버렸다. 원본은 광역 합계 행과 그 아래
#    시·군·구 행을 같은 표에 담고 있어서, 전부 더하면 정확히 2배가 된다
#    (전국 태양광이 32GW 대신 64GW 로 나온다). 합계 행은 '기초' 칸이 광역명과
#    같은 행이다 — 단 제주만 '제주도' 로 적혀 있어 별칭 처리가 필요하다.
#    세종은 기초 행이 아예 없고 합계 행 하나만 있다.
#    옮기기 전에 [합계 행 == 기초 행들의 합] 을 광역·발전원마다 교차 검증했다.
#    51개 조합 중 6개에서 1~3kW 차이가 났는데, 이는 원본이 기초 행마다 정수 kW 로
#    반올림한 탓이다(수백만 kW 규모에서 3kW). 합계 행 쪽을 정본으로 삼았다.
#
# 3) 태양광·풍력·수력 세 항목만 남겼다. 원본에는 태양열·지열·바이오·폐기물 등
#    14종이 있지만 이 시뮬레이터의 발전원은 넷뿐이고, 화력은 EPSIS 설비용량
#    (kpx_capacity_by_region_2025.csv)에서 따로 온다.
#
# ── 컬럼 ──
#   region          17개 시·도
#   solar_kw        태양광 보급용량_발전_누적
#   wind_kw         풍력   보급용량_발전_누적
#   hydro_kw        수력   보급용량_발전_누적 (양수발전 제외 — 원본 정의)
#   solar_mwh / wind_mwh / hydro_mwh   같은 해 발전량. 계수 산출에는 쓰지 않고
#                   설비용량이 발전량과 어긋나지 않는지 눈으로 검증할 때만 본다.
#
# ── 주의 ──
#   이 값은 **설치된 설비의 양**이다. 그 지역의 자원 잠재력(일사량·풍속)이 아니다.
#   자원이 좋아도 아직 설비가 적은 지역은 낮게 나온다 — 풍력의 부산이 그 예다
#   (연안 풍력 여건은 있으나 실측 설비 90kW). 화면 문구도 그 구분을 밝혀야 한다.
#
#   전국 합계로 검증됨: 태양광 32.00 GW / 풍력 2.27 GW / 수력 1.82 GW.
region,solar_kw,wind_kw,hydro_kw,solar_mwh,wind_mwh,hydro_mwh
서울,294589,105,457,307440,162,0
부산,372358,45,230,425328,56,254
대구,530193,11563,4060,595275,15818,19172
인천,309798,49138,12919,328422,19754,19933
광주,459322,4,1830,487051,6,9717
대전,159021,200,270,163820,309,1515
울산,209734,10,300,228175,15,1651
세종,126860,0,2310,137531,0,0
경기,2631810,5316,276464,2880148,2825,831605
강원,2174744,571211,524139,2495528,985929,1105595
충북,1902164,38,518644,2151784,59,1054953
충남,4083348,2105,32287,4782170,130,52551
전북,4916738,82533,78917,6119083,133421,345918
전남,6529787,456486,36791,7857960,719146,136059
경북,4183090,566975,179285,4970367,1030354,361630
경남,2401850,102621,145469,2766692,154791,370061
제주,717180,422820,816,752958,673793,2875
