# 한국전력거래소 지역별 발전설비 설비용량 (기준연도 2025, 단위 MW)
#
# 출처   : 전력통계정보시스템(EPSIS) 발전설비 현황
#          https://epsis.kpx.or.kr/epsisnew/selectEkpoBgtChart.do?menuId=020200
#          공공데이터포털 "한국전력거래소_발전형식별 발전설비 설비용량 정보"
#          (데이터 ID 15150656) 가 원본으로 지목하는 화면이다. 그 포털 항목은
#          "다운로드(바로가기)" 유형이라 포털이 파일을 호스팅하지 않고 위 화면으로
#          링크만 걸어 두므로, 값은 EPSIS 에서 직접 가져왔다.
# 취득일 : 2026-08-21
# 기준연도: 2025 (EPSIS 가 제공하는 최신 연도. 2026 을 요청해도 같은 응답을 준다)
#
# ── 컬럼 ──
#   region       17개 시·도
#   thermal_mw   화력 = 기력(유연탄·무연탄·유류·가스) + 복합화력(유류·가스) + 내연력(유류·가스)
#   nuclear_mw   원자력
#   renewable_mw 신재생 (EPSIS 는 이 안에서 태양광·풍력·수력을 구분하지 않는다)
#   total_mw     EPSIS 의 합계 열
#
# ── 주의 ──
#   thermal + nuclear + renewable != total 이다. 합계에는 양수(揚水)와 기타가
#   함께 들어 있고, 위 세 열은 그중 이름을 붙일 수 있는 것만 뽑은 것이다.
#
#   이 파일에서 실제로 쓰이는 것은 thermal_mw 한 열뿐이다(seed_db.py). 태양광·풍력·
#   수력 계수는 EPSIS 에 구분이 없어 내장 추정표를 그대로 쓴다 — 그 사실은
#   data/coefficient_source.json 의 covered_sources 에 기록된다.
#
#   설비용량은 "그 지역에 발전설비가 얼마나 있는가"이며 그 지역이 전력을 얼마나
#   쓰는가(수요·의존도)가 아니다. 화면 문구도 공급 관점으로 적어야 한다.
region,thermal_mw,nuclear_mw,renewable_mw,total_mw
서울,802.346,0.000,140.923,971.219
부산,1864.836,4550.000,379.589,6828.325
대구,713.600,0.000,490.805,1214.305
인천,13692.977,0.000,611.968,14335.725
광주,115.246,0.000,429.564,548.770
대전,48.300,0.000,79.454,215.754
울산,3619.300,2800.000,256.022,6693.522
세종,1127.612,0.000,110.863,1241.725
경기,17879.217,0.000,3245.094,21575.766
강원,9093.200,0.000,3605.457,13717.627
충북,270.000,0.000,2391.716,2713.013
충남,22924.118,0.000,5025.417,27962.125
전북,1171.259,0.000,5468.665,7254.459
전남,3382.440,5900.000,7080.816,16386.453
경북,536.200,12800.000,5278.297,20053.432
경남,9358.162,0.000,2604.195,13271.940
제주,499.420,0.000,1547.968,2078.588
