# source: NASA POWER Daily API
# parameters: T2M,PRECTOTCORR,WS10M,ALLSKY_SFC_SW_DWN
# period: 20250101 - 20251231
# coordinates: 17개 시·도 대표 지점, 지역 전체 평균 아님
region,date,temp,precipitation,wind_speed,solar_radiation
서울,2025-01-01,1.21,0.0,3.44,2.592
서울,2025-01-02,-1.41,0.0,3.62,2.7367
서울,2025-01-03,-2.83,0.05,4.05,2.2169
서울,2025-01-04,-1.72,0.02,2.5,2.6278
서울,2025-01-05,1.44,4.91,4.74,0.9662
서울,2025-01-06,0.06,0.23,6.08,1.8382
서울,2025-01-07,-3.38,0.24,5.15,2.1502
서울,2025-01-08,-4.48,0.43,5.4,2.2486
서울,2025-01-09,-10.56,0.51,8.52,2.6417
서울,2025-01-10,-8.13,0.24,4.15,2.8495
서울,2025-01-11,-5.53,0.17,2.09,2.8399
서울,2025-01-12,-4.07,0.01,2.6,2.5517
서울,2025-01-13,-0.33,0.23,3.34,1.765
서울,2025-01-14,1.28,0.39,4.28,1.8703
서울,2025-01-15,-4.93,0.0,6.24,3.1262
서울,2025-01-16,-1.69,0.04,4.25,1.5521
서울,2025-01-17,-2.26,0.0,2.14,3.1238
서울,2025-01-18,0.27,0.0,1.63,2.4629
서울,2025-01-19,1.09,0.0,2.99,1.9598
서울,2025-01-20,1.93,0.0,1.62,1.4184
서울,2025-01-21,1.63,0.07,1.89,2.0482
서울,2025-01-22,1.23,0.04,2.47,2.3254
서울,2025-01-23,-0.14,0.0,2.65,3.2566
서울,2025-01-24,0.71,0.18,3.09,3.1284
서울,2025-01-25,1.68,1.15,4.48,3.2189
서울,2025-01-26,1.29,1.95,3.82,1.5487
서울,2025-01-27,-0.62,5.75,7.83,1.9618
서울,2025-01-28,-3.85,2.41,9.96,1.571
서울,2025-01-29,-5.97,0.12,7.19,2.8469
서울,2025-01-30,-6.12,0.01,3.26,2.0419
서울,2025-01-31,-2.42,1.18,2.44,0.8206
서울,2025-02-01,-0.2,0.01,3.27,2.809
서울,2025-02-02,-0.81,0.02,3.11,2.585
서울,2025-02-03,-5.89,0.05,9.34,3.637
서울,2025-02-04,-9.82,0.06,7.39,3.3336
서울,2025-02-05,-9.44,0.17,5.64,3.5165
서울,2025-02-06,-6.26,0.74,4.2,2.9057
서울,2025-02-07,-8.93,1.83,8.31,3.011
서울,2025-02-08,-8.75,0.0,6.21,3.7087
서울,2025-02-09,-6.33,0.0,4.09,3.6055
서울,2025-02-10,-3.88,0.12,2.84,3.3946
서울,2025-02-11,-0.86,0.0,2.39,3.5705
서울,2025-02-12,-0.61,3.62,5.72,0.81
서울,2025-02-13,-1.71,0.01,4.47,4.1892
서울,2025-02-14,1.28,0.0,3.08,3.6415
서울,2025-02-15,1.39,0.0,2.69,2.0669
서울,2025-02-16,1.69,0.0,5.13,2.2214
서울,2025-02-17,-1.57,0.0,7.0,4.6886
서울,2025-02-18,-2.76,0.0,7.02,4.5888
서울,2025-02-19,-4.25,0.0,5.78,4.6822
서울,2025-02-20,-4.07,0.0,5.49,4.7282
서울,2025-02-21,-3.99,0.0,5.39,4.7782
서울,2025-02-22,-3.54,0.02,5.36,4.818
서울,2025-02-23,-4.65,0.0,6.52,4.7674
서울,2025-02-24,-2.86,0.0,5.02,5.0076
서울,2025-02-25,0.31,0.0,5.16,2.9218
서울,2025-02-26,0.6,0.0,3.67,4.8826
서울,2025-02-27,3.19,0.0,3.01,4.2514
서울,2025-02-28,4.2,0.03,2.08,2.5901
서울,2025-03-01,5.21,0.33,2.29,2.0549
서울,2025-03-02,4.81,17.08,7.22,1.4489
서울,2025-03-03,0.46,4.94,9.48,3.7255
서울,2025-03-04,0.0,3.95,6.79,1.5636
서울,2025-03-05,1.85,0.85,3.73,2.6203
서울,2025-03-06,1.41,0.0,3.12,4.7234
서울,2025-03-07,2.72,0.0,2.07,4.0387
서울,2025-03-08,3.01,0.0,2.81,4.3958
서울,2025-03-09,4.39,0.0,1.54,4.4218
서울,2025-03-10,4.7,0.0,2.92,4.5742
서울,2025-03-11,6.1,0.0,1.87,4.9466
서울,2025-03-12,5.46,0.1,3.5,1.7242
서울,2025-03-13,5.38,0.0,3.82,4.7561
서울,2025-03-14,7.37,0.0,4.4,4.9152
서울,2025-03-15,7.38,0.32,4.04,4.4321
서울,2025-03-16,3.08,2.12,7.6,4.2617
서울,2025-03-17,1.15,2.37,4.94,4.7976
서울,2025-03-18,1.13,2.91,5.02,3.5467
서울,2025-03-19,0.93,0.0,3.19,5.6266
서울,2025-03-20,4.75,0.02,5.33,4.9442
서울,2025-03-21,6.71,0.12,5.05,5.3647
서울,2025-03-22,7.71,0.08,4.98,5.7278
서울,2025-03-23,9.67,0.03,3.81,4.9152
서울,2025-03-24,9.43,0.06,5.1,4.4746
서울,2025-03-25,8.01,0.01,5.97,3.3389
서울,2025-03-26,10.44,0.0,3.92,5.2025
서울,2025-03-27,10.0,2.19,5.88,3.6814
서울,2025-03-28,4.38,0.67,6.9,6.3835
서울,2025-03-29,1.45,0.78,6.1,5.1206
서울,2025-03-30,2.14,0.02,3.87,5.2375
서울,2025-03-31,5.79,0.0,2.72,5.3069
서울,2025-04-01,7.25,0.17,3.02,5.7768
서울,2025-04-02,5.75,1.57,3.23,2.4266
서울,2025-04-03,7.53,0.34,2.41,5.6191
서울,2025-04-04,7.69,0.69,2.62,5.509
서울,2025-04-05,6.83,13.15,3.27,0.9744
서울,2025-04-06,7.81,0.73,4.99,6.2486
서울,2025-04-07,9.91,0.02,5.14,6.0252
서울,2025-04-08,10.3,0.02,3.92,6.4219
서울,2025-04-09,8.43,0.51,3.15,2.8642
서울,2025-04-10,10.42,0.17,2.84,6.1262
서울,2025-04-11,12.26,0.0,2.11,6.701
서울,2025-04-12,9.83,20.77,6.69,1.8278
서울,2025-04-13,4.52,3.13,7.96,4.9267
서울,2025-04-14,4.16,8.57,5.23,2.1494
서울,2025-04-15,6.41,0.06,4.69,6.9223
서울,2025-04-16,11.07,0.02,4.92,5.7274
서울,2025-04-17,15.55,0.07,5.82,3.2491
서울,2025-04-18,13.73,0.11,2.73,4.549
서울,2025-04-19,12.19,11.31,5.05,1.5898
서울,2025-04-20,14.39,1.05,2.19,7.0752
서울,2025-04-21,15.81,0.33,3.88,4.9325
서울,2025-04-22,14.96,23.11,2.89,1.7155
서울,2025-04-23,13.54,0.16,3.4,6.5796
서울,2025-04-24,11.56,0.05,5.0,7.0258
서울,2025-04-25,9.95,0.0,5.99,7.6378
서울,2025-04-26,10.67,0.01,5.17,6.9118
서울,2025-04-27,11.17,0.01,5.56,4.9255
서울,2025-04-28,11.7,0.0,4.11,7.494
서울,2025-04-29,11.23,0.0,3.41,7.3723
서울,2025-04-30,13.73,0.0,5.43,7.2346
서울,2025-05-01,12.12,26.35,6.71,1.3826
